有一点儿	有一点儿 abit
五月	五月 may
大概	大概 maybe probably would
市长	市长 mayor
镇长	镇长 mayor
饭食	饭食 meal
意思	意思 meaning
方法	方法 means method technique way
手段	手段 means way
量度	量度 measure
奖章	奖章 medal medal
勋章	勋章 medal
医学	医学 medicine
碰见	碰见 meet met
迎接	迎接 meet
集会	集会 meet meeting met
成员	成员 member
会员	会员 member
记忆	记忆 memory
回忆	回忆 memory
修补	修补 mend repair
提到	提到 mention refer referto
说起	说起 mention
菜单	菜单 menu
菜谱	菜谱 menu
商人	商人 merchant
怜悯	怜悯 mercy pity
仁慈	仁慈 mercy
仅仅	仅仅 merely nomorethan only simply
消息	消息 message news
金属	金属 metal
办法	办法 method
公尺	公尺 metre meter
微机	微机 microcomputer
正午	正午 midday noon
中间	中间 middle
当中	当中 middle
午夜	午夜 midnight
迈克	迈克 Mike
英里	英里 mile
牛奶	牛奶 milk
挤奶	挤奶 milk
出奶	出奶 milk
百万	百万 million
心情	心情 mind
介意	介意 mind
我的	我的 mine my
矿山	矿山 mine
矿井	矿井 mine
矿物	矿物 mineral
矿石	矿石 mineral
大臣	大臣 minister
部长	部长 minister
牧师	牧师 minister
负的	负的 minus
分钟	分钟 minute
一会	一会 minute
镜子	镜子 mirror
惦念	惦念 miss
怀念	怀念 miss
错过	错过 miss
想念	想念 miss
惦记	惦记 miss
误会	误会 misunderstanding
误解	误解 misunderstanding
混合	混合 mix
搅和	搅和 mix
模型	模型 model
原型	原型 model
式样	式样 model pattern
片刻	片刻 moment
时刻	时刻 moment
金钱	金钱 money
货币	货币 money
班长	班长 monitor
和尚	和尚 monk
猴子	猴子 monkey
月亮	月亮 moon
更多	更多 more
更大	更大 more
早晨	早晨 morning
早上	早上 morning
上午	上午 morning
最多	最多 most
母亲	母亲 mother parent
马达	马达 motor
箴语	箴语 motto
格言	格言 motto
山脉	山脉 mountain
哀痛	哀痛 mourn
哀悼	哀悼 mourn
老鼠	老鼠 mouse
耗子	耗子 mouse
鼠标	鼠标 mouse
一口	一口 mouthful
移动	移动 move
搬家	搬家 move
迁入	迁入 movein
更加	更加 much
胜过	胜过 muchbetterthan
泥浆	泥浆 mud
桑树	桑树 mulberry
桑葚	桑葚 mulberry
妈妈	妈妈 mum
干尸	干尸 mummy
谋杀	谋杀 murder
凶手	凶手 murderer
嘟哝	嘟哝 murmur
肌肉	肌肉 muscle
音乐	音乐 music
乐曲	乐曲 music
乐师	乐师 musician
应当	应当 must ought oughtto
钉子	钉子 nail
名字	名字 name
名称	名称 name
民族	民族 nation nationality
自然	自然 nature ofcourse
性质	性质 nature
海军	海军 navy
近的	近的 near
邻近	邻近 near
将近	将近 nearly
脖子	脖子 neck
项链	项链 necklace
项圈	项圈 necklace
必要	必要 need want
必需	必需 need
缝针	缝针 needle
黑人	黑人 Negro
邻居	邻居 neighbor neighbour
邻人	邻人 neighbor neighbour
都不	都不 neither
也不	也不 neither neithernor nor
既不	既不 neithernor
侄子	侄子 nephew
外甥	外甥 nephew
决不	决不 never
新的	新的 new
新闻	新闻 news
报纸	报纸 newspaper paper
牛顿	牛顿 Newton
纽约	纽约 NewYork
然后	然后 next then
贴近	贴近 nextto
好的	好的 nice
侄女	侄女 niece
甥女	甥女 niece
夜间	夜间 night
黑夜	黑夜 night
夜晚	夜晚 night
十九	十九 nineteen
九十	九十 ninety
第九	第九 ninth
不是	不是 no
没有	没有 no without
点头	点头 nod
响声	响声 noise
不再	不再 nolonger nomore notanylonger notanymore
胡说	胡说 nonsense
北部	北部 north
北方	北方 north
挪威	挪威 Norway
鼻子	鼻子 nose
不像	不像 notasas
不如	不如 notasas
便条	便条 note
短笺	短笺 note
钞票	钞票 note
笔记	笔记 note
注释	注释 note
布告	布告 notice
名词	名词 noun
当今	当今 nowadays
时而	时而 nowandagain nowandthen
无处	无处 nowhere
难怪	难怪 nowonderthat
既然	既然 nowthat since
号码	号码 number
数量	数量 number quantity
护士	护士 nurse
护理	护理 nursing tend
坚果	坚果 nut
绿洲	绿洲 oasis
服从	服从 obey
顺从	顺从 obey
物体	物体 object
对象	对象 object
观察	观察 observation observe
观测	观测 observation
偶尔	偶尔 occasionally onceinawhile
占有	占有 occupy possess takepossessionof
海洋	海洋 ocean sea
洋底	洋底 oceanfloor
点钟	点钟 o'clock
十月	十月 October
停了	停了 off
提出	提出 offer refer
职务	职务 office
军官	军官 officer
官员	官员 official
常常	常常 often
经常	经常 often
旧的	旧的 old
在上	在上 on over up
穿上	穿上 on
戴上	戴上 on puton
放上	放上 on
接通	接通 on switch
一度	一度 once
一只	一只 one
相继	相继 oneafteranother
顺次	顺次 oneafteranother
自身	自身 oneself
自己	自己 oneself self
走路	走路 onfoot
步行	步行 onfoot walk
洋葱	洋葱 onion
只是	只是 only
展出	展出 onshow
播送	播送 ontheair
按时	按时 ontime
准时	准时 ontime
打开	打开 open unfold unwrap
张开	张开 open
开放	开放 opening
开创	开创 openup
开辟	开辟 openup
操作	操作 operate operation
运转	运转 operate work
手术	手术 operation
见解	见解 opinion thinking view
良机	良机 opportunity
反抗	反抗 oppose rebellion
压迫	压迫 oppress
压抑	压抑 oppress
否则	否则 or orelse otherwise
橙子	橙子 orange
桔子	桔子 orange
柑子	柑子 orange
橙色	橙色 orange
命令	命令 order summon
定货	定货 order
意向	意向 order
顺序	顺序 order turn
规则	规则 order rule
秩序	秩序 order
孤儿	孤儿 orphan
上下	上下 orso
别人	别人 other
哎哟	哎哟 ouch
应该	应该 ought oughtto should
向外	向外 out outof outward
在外	在外 out outof
爆发	爆发 outburst
太空	太空 outerspace space
失业	失业 outofwork
外部	外部 outside
外面	外面 outside
完了	完了 over
再三	再三 overandover
大衣	大衣 overcoat
欠债	欠债 owe
所有	所有 own possession
拥有	拥有 own possess possession takepossessionof
物主	物主 owner
公牛	公牛 ox ploxen
牛津	牛津 Oxford
氧气	氧气 oxygen
步速	步速 pace
打包	打包 pack
包裹	包裹 package parcel wrap
包装	包装 package
页码	页码 page
付钱	付钱 paid pay payforsth
痛的	痛的 painful
粉刷	粉刷 paint
油漆	油漆 paint
涂料	涂料 paint
画家	画家 painter
油画	油画 painting
宫殿	宫殿 palace
平锅	平锅 pan
盘子	盘子 pan plate
考卷	考卷 paper
票据	票据 paper
借约	借约 paper
借据	借据 paper
巴黎	巴黎 Paris
公园	公园 park
鹦鹉	鹦鹉 parrot
部分	部分 part section
零件	零件 part
部件	部件 part
搭档	搭档 partner
词类	词类 partofspeech
聚会	聚会 party
政党	政党 party
党派	党派 party
党员	党员 Partymember
路过	路过 pass
走廊	走廊 passage
一段	一段 passage
忽略	忽略 passby
乘客	乘客 passenger
旅客	旅客 passenger traveller
过客	过客 passerby
护照	护照 passport
昔日	昔日 past
轻拍	轻拍 pat tap
抚摩	抚摩 pat
补钉	补钉 patch
小道	小道 path
忍耐	忍耐 patience
耐心	耐心 patience
容忍	容忍 patience putupwith
格调	格调 pattern
保罗	保罗 Paul
中止	中止 pause
暂停	暂停 pause
亭子	亭子 pavilion
脚爪	脚爪 paw
偿还	偿还 payback repaid repay
支付	支付 payforsth
还清	还清 payoff
和平	和平 peace
桃子	桃子 peach
农民	农民 peasant
钢笔	钢笔 pen
铅笔	铅笔 pencil
便士	便士 penny plpence
履行	履行 perform
时期	时期 period stage time
时代	时代 period
许可	许可 permission permit
容许	容许 permit
毅力	毅力 perseverance
劝说	劝说 persuade
说服	说服 persuade
害虫	害虫 pest
宠物	宠物 pet
爱畜	爱畜 pet
彼得	彼得 Peter
现象	现象 phenomenon
相片	相片 photo
照片	照片 photo photograph picture
短语	短语 phrase
体育	体育 physicaleducation
钢琴	钢琴 piano
扒窃	扒窃 pick
选出	选出 pickout
拣出	拣出 pickout
拾起	拾起 pickup raise
接收	接收 pickup
野餐	野餐 picnic picnicked
图片	图片 picture
馅饼	馅饼 pie
鸽子	鸽子 pigeon
堆积	堆积 pile pileup
堆起	堆起 pile
药丸	药丸 pill
枕头	枕头 pillow
钉住	钉住 pin
松树	松树 pine
先锋	先锋 pioneer
管子	管子 pipe tube
导管	导管 pipe
烟斗	烟斗 pipe
比萨	比萨 Pisa
遗憾	遗憾 pity regret sorrow
同情	同情 pity
可怜	可怜 pity
地方	地方 place room
位置	位置 place position situation
定购	定购 placeanorder
平原	平原 plain
旷野	旷野 plain
计划	计划 plan program programme
平面	平面 plane
行星	行星 planet
厚板	厚板 plank
播种	播种 plant sow
塑料	塑料 plastics
碟子	碟子 plate
讲台	讲台 platform
站台	站台 platform station
打球	打球 play
玩耍	玩耍 play
戏剧	戏剧 play
捉弄	捉弄 playatrickon
选手	选手 player
操场	操场 playground schoolyard
充足	充足 plenty
警察	警察 plpolicemen police policeman
绵羊	绵羊 plsheep sheep
肺炎	肺炎 pneumonia
衣袋	衣袋 pocket
韵文	韵文 poem
诗人	诗人 poet
观点	观点 point
论点	论点 point
要点	要点 point
尖端	尖端 point tip
指向	指向 point pointto
指出	指出 point pointout
说及	说及 pointout
毒药	毒药 poison
毒物	毒物 poison
毒害	毒害 poison
中毒	中毒 poison
政治	政治 politics
污染	污染 pollute pollution
池塘	池塘 pond
鱼塘	鱼塘 pond
小池	小池 pool
水塘	水塘 pool
水池	水池 pool tank
水坑	水坑 pool
歌星	歌星 popstar
人口	人口 population
人数	人数 population
猪肉	猪肉 pork
港市	港市 port
口岸	口岸 port
肖像	肖像 portrait
阵地	阵地 position
邮寄	邮寄 post
职位	职位 post
邮局	邮局 post postoffice
邮费	邮费 postage
海报	海报 poster
招贴	招贴 poster
邮戳	邮戳 postmark
土豆	土豆 potato
英镑	英镑 pound
流出	流出 pour
倾泻	倾泻 pour
粉末	粉末 powder
政权	政权 power
权力	权力 power
势力	势力 power
力量	力量 power strength
电力	电力 power
实践	实践 practice practise
实习	实习 practice
赞扬	赞扬 praise
表扬	表扬 praise
童车	童车 pram
祈祷	祈祷 pray
祈求	祈求 pray
祈褥	祈褥 prayer
宁可	宁可 prefer rather
宁愿	宁愿 prefer rather
准备	准备 preparation prepare
预备	预备 prepare
总统	总统 president
压按	压按 press
压力	压力 pressure
假装	假装 pretend
装作	装作 pretend
防止	防止 prevent preventfrom
预防	预防 prevent preventfrom
妨碍	妨碍 preventfrom
价格	价格 price
代价	代价 price
骄傲	骄傲 pride
自满	自满 pride
公主	公主 princess
印刷	印刷 print printing
打印	打印 print
监狱	监狱 prison
囚犯	囚犯 prisoner
犯人	犯人 prisoner
奖品	奖品 prize
奖金	奖金 prize
奖赏	奖赏 prize reward
难题	难题 problem
工序	工序 process
行进	行进 procession
队伍	队伍 procession
行列	行列 procession
生产	生产 produce production
教授	教授 professor
节目	节目 program programme
规划	规划 program programme
项目	项目 program programme
程序	程序 programme
进步	进步 progress
工程	工程 project
诺言	诺言 promise
预示	预示 promise
发音	发音 pronounce pronunciation
证据	证据 proof
证明	证明 proof prove
论证	论证 proof
证实	证实 prove
酒店	酒店 pub
出版	出版 publish
发行	发行 publish putout
喷出	喷出 puff
吹气	吹气 puff
果肉	果肉 pulp
脉搏	脉搏 pulse
惩罚	惩罚 punish punishment
处罚	处罚 punish
学生	学生 pupil student
意图	意图 purpose
钱包	钱包 purse
推动	推动 pushon
推倒	推倒 pushover
刮倒	刮倒 pushover
放好	放好 putaway
扑灭	扑灭 putdown putout
平息	平息 putdown
记下	记下 putdown writedown
输入	输入 putinto
上演	上演 puton
发福	发福 putonweight
关熄	关熄 putout
检验	检验 puttothetest
张帖	张帖 putup
搭起	搭起 putup setup
挂起	挂起 putup
忍受	忍受 putupwith
震动	震动 quake shake shock
颤抖	颤抖 quake
品质	品质 quality
争吵	争吵 quarrel
吵架	吵架 quarrel
女王	女王 queen
王后	王后 queen
迅速	迅速 quickly
被子	被子 quilt
十分	十分 quilt
测验	测验 quiz test
兔子	兔子 rabbit
赛跑	赛跑 race
人种	人种 race
种族	种族 race
辐射	辐射 radiation
射线	射线 radiation ray
放射	放射 radiation
抹布	抹布 rag
破布	破布 rag
大怒	大怒 rage
铁轨	铁轨 rail
轨道	轨道 rail track
铁路	铁路 rail railway
栏杆	栏杆 rail
雨水	雨水 rain
下雨	下雨 rain
雨衣	雨衣 raincoat
抚养	抚养 raise
军衔	军衔 rank
光线	光线 ray
抵达	抵达 reach
看懂	看懂 read
辩认	辩认 read
觉察	觉察 read
阅读	阅读 read
朗读	朗读 read reading
读者	读者 reader
读本	读本 reader
读物	读物 reading
真的	真的 real
现实	现实 reality
理由	理由 reason
造反	造反 rebel rebellion
反叛	反叛 rebel
叛乱	叛乱 rebellion
重建	重建 rebuild rebuilt
改造	改造 rebuild
接到	接到 receive
受到	受到 receive
遭到	遭到 receive
近来	近来 recently
接待	接待 reception
认出	认出 recognize
记录	记录 record
记载	记载 record
唱片	唱片 record
恢复	恢复 recover
回收	回收 recycle
红色	红色 red
减少	减少 reduce
缩减	缩减 reduce
抽出	抽出 reel
提交	提交 refer
有关	有关 refer referto relate
参考	参考 reference
附注	附注 reference
谈到	谈到 referto talkabout talkof
参照	参照 referto
反射	反射 reflection
拒绝	拒绝 refuse
看待	看待 regard treat
当作	当作 regard
致意	致意 regards
抱歉	抱歉 regret
缰绳	缰绳 rein
抛弃	抛弃 reject
拒收	拒收 reject
关系	关系 relation relationship
亲属	亲属 relation relative
亲戚	亲戚 relative
松驰	松驰 relax relaxation
放松	放松 relax relaxation
替班	替班 relay
宽慰	宽慰 relief
欣慰	欣慰 relief
宗教	宗教 religion
仍是	仍是 remain
残余	残余 remains
陈述	陈述 remark setout statement
再娶	再娶 remarry
再嫁	再嫁 remarry
记得	记得 remember
想起	想起 remember remind thinkof
提醒	提醒 remind
记起	记起 remind
取去	取去 remove
拿走	拿走 remove take takeaway
脱掉	脱掉 remove
消除	消除 remove
移开	移开 remove
续借	续借 renew
还钱	还钱 repaid repay
报答	报答 repay reward
重复	重复 repeat
重说	重说 repeat
重做	重做 repeat
取代	取代 replace
报告	报告 report
汇报	汇报 report
重读	重读 reread
再读	再读 reread
营救	营救 rescue
援救	援救 rescue
研究	研究 research study
抵抗	抵抗 resist
抵制	抵制 resist
资源	资源 resource
尊重	尊重 respect
支撑	支撑 rest support
饭馆	饭馆 restaurant
归来	归来 return
复审	复审 review
温习	温习 revision
革命	革命 revolution
变革	变革 revolution
报酬	报酬 reward
重写	重写 rewrite rewritten rewrote
改写	改写 rewrite
大米	大米 rice
米饭	米饭 rice
骑马	骑马 ride
恰恰	恰恰 right
对的	对的 right
铃声	铃声 ring
铃响	铃响 ring
摇铃	摇铃 ring
戒指	戒指 ring rung
熟的	熟的 ripe
升高	升高 rise
起立	起立 rise risen up
起义	起义 riseup
河边	河边 riverside
街道	街道 road street traffic
掠夺	掠夺 rob seize
抢劫	抢劫 rob
长袍	长袍 robe
岩石	岩石 rock
摇动	摇动 rock shake
火箭	火箭 rocket
岩面	岩面 rockface
摇椅	摇椅 rockingchair
打滚	打滚 roll
滚动	滚动 roll
滚筒	滚筒 roller
翻滚	翻滚 rollover
罗马	罗马 Rome
屋顶	屋顶 roof
顶部	顶部 roof top
地位	地位 room
房间	房间 room
空间	空间 room space
余地	余地 room
根茎	根茎 root
绳子	绳子 rope
罗斯	罗斯 rose
腐烂	腐烂 rot rotaway
腐败	腐败 rot
烂掉	烂掉 rotaway
围绕	围绕 round surround
圆的	圆的 round
围着	围着 round
赶拢	赶拢 roundup
路线	路线 route way
一排	一排 row
一行	一行 row
划船	划船 rowboat
罗伊	罗伊 Roy
摩擦	摩擦 rub
橡皮	橡皮 rubber
橡胶	橡胶 rubber
垃圾	垃圾 rubbish waste
废物	废物 rubbish
毁灭	毁灭 ruin
规定	规定 rule
奔跑	奔跑 run
运行	运行 run
逃走	逃走 runaway
冲出	冲出 rushout
俄国	俄国 Russia
俄语	俄语 Russian
悲伤	悲伤 sadness
悲惨	悲惨 sadness
悲哀	悲哀 sadness
忧伤	忧伤 sadness
安全	安全 safety
保险	保险 safety
航行	航行 sail sailing voyage
航海	航海 sailing voyage
海员	海员 sailor seaman
水手	水手 sailor seaman
水兵	水兵 sailor
色拉	色拉 salad
薪水	薪水 salary
销售	销售 sale
出售	出售 sale
店员	店员 salesman shopassistant
盐的	盐的 salty
咸的	咸的 salty
敬礼	敬礼 salute
萨米	萨米 Sammy
沙地	沙地 sand
沙子	沙子 sand
桑迪	桑迪 Sandy
下沉	下沉 sank sink sunk
消沉	消沉 sank sink sunk
树液	树液 sap
卫星	卫星 satellite
满足	满足 satisfaction satisfy
满意	满意 satisfaction satisfy
酱汁	酱汁 sauce
节省	节省 save save spare
挽救	挽救 save
储蓄	储蓄 save
贮存	贮存 save
理解	理解 saw see seen understand understanding
看望	看望 saw see seen
俗话	俗话 saying
谚语	谚语 saying
甲虫	甲虫 scarab
分散	分散 scatter
一场	一场 scene
场景	场景 scene
布景	布景 scene
风景	风景 scenery sight view
景色	景色 scenery view
校舍	校舍 schoolhouse
教师	教师 schoolmaster teacher
同学	同学 schoolmate
校园	校园 schoolyard
科学	科学 science
斥责	斥责 scold
责骂	责骂 scold
二十	二十 score twenty
得分	得分 score
获胜	获胜 score win
乱涂	乱涂 scratch
尖叫	尖叫 scream
屏幕	屏幕 screen
海鸥	海鸥 seagull
海豹	海豹 seal
船员	船员 seaman
搜查	搜查 search
探索	探索 search
搜寻	搜寻 search
海贝	海贝 seashell
贝壳	贝壳 seashell
季节	季节 season
座位	座位 seat
海水	海水 seawater
海草	海草 seaweed
海藻	海藻 seaweed
第二	第二 second
秘密	秘密 secret
书记	书记 secretary
看见	看见 see
种子	种子 seed
玩弄	玩弄 seek
探寻	探寻 seek
占领	占领 seize
很少	很少 seldom
不常	不常 seldom
自我	自我 self
售完	售完 sellout
卖完	卖完 sellout
半圆	半圆 semicircle
派遣	派遣 send sendout sent
发射	发射 send sendup shot
打发	打发 send sent
寄出	寄出 send sent
感官	感官 sense
意识	意识 sense
句子	句子 sentence
宣判	宣判 sentence
隔离	隔离 separate separation
分离	分离 separation
九月	九月 September
农奴	农奴 serf
警士	警士 sergeant
军士	军士 sergeant
仆人	仆人 servant
佣人	佣人 servant
服务	服务 serve service
服役	服役 serve
开饭	开饭 serve
上菜	上菜 serve
点火	点火 setfireto
放火	放火 setfireto
释放	释放 setfree
动身	动身 setoff
着手	着手 setout start
启航	启航 setsail
解决	解决 settle solve workout
停留	停留 settle stay
安家	安家 settle
定居	定居 settledown
成家	成家 settledown
部落	部落 settlement
村落	村落 settlement
创立	创立 setup
竖立	竖立 setup
七十	七十 seventy
几个	几个 several some
数个	数个 several
缝纫	缝纫 sew
缝制	缝制 sew
缝补	缝补 sew
缝上	缝上 sew sewed sown
缝做	缝做 sew sewed sown
性别	性别 sex
树阴	树阴 shade
窗帘	窗帘 shade
树荫	树荫 shade
阴影	阴影 shadow
影子	影子 shadow
颤动	颤动 shake
将要	将要 shall should
浅的	浅的 shallow
羞愧	羞愧 shame
分享	分享 share
分担	分担 share
尖的	尖的 sharp
剃刮	剃刮 shave
薄片	薄片 sheet
薄板	薄板 sheet
架子	架子 shelf
母狼	母狼 shewolf
照耀	照耀 shine
衬衫	衬衫 shirt
冲击	冲击 shock
震惊	震惊 shock
射中	射中 shoot
射死	射死 shoot
抛出	抛出 shoot
嫩枝	嫩枝 shoot
打枪	打枪 shoot
投篮	投篮 shootabasket
商店	商店 shop store
店铺	店铺 shop
购物	购物 shopping
短的	短的 short
矮的	矮的 short
不足	不足 shortage
短处	短处 shortcoming
缩短	缩短 shorten
短波	短波 shortwave
射手	射手 shot
肩膀	肩膀 shoulder
铁锨	铁锨 shovel
给看	给看 show
出示	出示 show
显示	显示 show
参观	参观 showaround visit
阵雨	阵雨 shower
淋浴	淋浴 shower
炫耀	炫耀 showoff
关住	关住 shut
关门	关门 shut
禁闭	禁闭 shut
闭嘴	闭嘴 shutup
住口	住口 shutup
侧面	侧面 side
岔路	岔路 sideway
旁路	旁路 sideway
叹气	叹气 sigh
视觉	视觉 sight
情景	情景 sight
迹象	迹象 sign
符号	符号 sign
标记	标记 sign
签名	签名 sign signature
信号	信号 signal
暗号	暗号 signal
寂静	寂静 silence still
安静	安静 silence
沉默	沉默 silence
蚕丝	蚕丝 silk
傻的	傻的 silly
演唱	演唱 sing
唱歌	唱歌 sing
阁下	阁下 sir
姐妹	姐妹 sister
形势	形势 situation
情况	情况 situation
十六	十六 sixteen
六十	六十 sixty
尺寸	尺寸 size
大小	大小 size
滑雪	滑雪 ski
技能	技能 skill
技巧	技巧 skill
熟练	熟练 skill
皮肤	皮肤 skin
女裙	女裙 skirt
掌击	掌击 slap
拍打	拍打 slap
奴隶	奴隶 slave
睡眠	睡眠 sleep
睡袋	睡袋 sleepingbag
滑动	滑动 slide slip
溜走	溜走 slip
拖鞋	拖鞋 slipper
便鞋	便鞋 slipper
慢的	慢的 slow
迟钝	迟钝 slow
闻到	闻到 smell smelt
气味	气味 smell
微笑	微笑 smile
吸烟	吸烟 smoke
攫取	攫取 snatch
抽泣	抽泣 sniffle
下雪	下雪 snow
雪堆	雪堆 snowdrift
大雪	大雪 snowstorm
这么	这么 so
那么	那么 so such then well
如此	如此 so
同样	同样 so
所以	所以 so therefore
浸湿	浸湿 soak
淋湿	淋湿 soak
肥皂	肥皂 soap
呜咽	呜咽 sob
啜泣	啜泣 sob
社会	社会 society
短袜	短袜 sock
软的	软的 soft
土壤	土壤 soil
士兵	士兵 soldier soldier
固体	固体 solid
解答	解答 solve
某些	某些 some
有人	有人 somebody someone
某人	某人 somebody someone
某事	某事 something
某物	某物 something
某处	某处 somewhere
儿子	儿子 son
歌曲	歌曲 song
歌唱	歌唱 song
迟早	迟早 soonerorlater
煤烟	煤烟 soot
悲痛	悲痛 sorrow
类别	类别 sort
以致	以致 sothat
精华	精华 soul
灵魂	灵魂 soul
心灵	心灵 soul
气魄	气魄 soul
声音	声音 sound
来源	来源 source
根源	根源 source
南方	南方 south
南部	南部 south
空地	空地 space
间隙	间隙 space
间隔	间隔 space
余暇	余暇 sparetime
麻雀	麻雀 sparrow
说话	说话 speak talk
讲话	讲话 speak speech talk
梭镖	梭镖 spear
言语	言语 speech
速度	速度 speed
加速	加速 speed
拼写	拼写 spell spelt
拼字	拼字 spelling
度过	度过 spend
花钱	花钱 spendon
蜘蛛	蜘蛛 spider
精神	精神 spirit
吐痰	吐痰 spit
吐出	吐出 spitout throwup
劈开	劈开 split
撕开	撕开 split
切开	切开 split
调羹	调羹 spoon
孢子	孢子 spore
场所	场所 spot
班点	班点 spot
传开	传开 spread
伸开	伸开 spread
伸长	伸长 spread
展开	展开 spread unfold
传播	传播 spread
流传	流传 spread
春天	春天 spring
春季	春季 spring
源泉	源泉 spring
侦察	侦察 spy
密探	密探 spy
间谍	间谍 spy
窥探	窥探 spyon
平方	平方 square
广场	广场 square
鱿鱼	鱿鱼 squid
松鼠	松鼠 squirrel
雄鹿	雄鹿 stag
舞台	舞台 stage
阶段	阶段 stage
楼梯	楼梯 stair
邮票	邮票 stamp
看台	看台 stand
站起	站起 stand stood
立正	立正 standatattention
代表	代表 standfor
象征	象征 standfor
主演	主演 star
起点	起点 startingpoint
饿死	饿死 starvation starve
状态	状态 state
车站	车站 station
驻扎	驻扎 station
安置	安置 station
电台	电台 station
暂住	暂住 stay
逗留	逗留 stay
挺住	挺住 stayup
站立	站立 stayup
窃取	窃取 steal
偷窃	偷窃 steal
蒸汽	蒸汽 steam
树干	树干 stem trunk
叶梗	叶梗 stem
脚步	脚步 step
继母	继母 stepmother
陷入	陷入 stick
粘住	粘住 stickto
仍旧	仍旧 still
开动	开动 stmoving
腹部	腹部 stomach
肚子	肚子 stomach
胃痛	胃痛 stomachache
石头	石头 stone
停止	停止 stop
跑表	跑表 stopwatch
贮藏	贮藏 storage supply
储存	储存 storage
存贮	存贮 store
储藏	储藏 store
存储	存储 store
风暴	风暴 storm
故事	故事 story tale
小说	小说 story
一层	一层 story
直的	直的 straight
外行	外行 stranger
溪流	溪流 stream
力气	力气 strength
加强	加强 strengthen
变强	变强 strengthen
增强	增强 strengthen
侵袭	侵袭 strike
打火	打火 strike
罢工	罢工 strike
带子	带子 string tie
闲逛	闲逛 stroll
奋斗	奋斗 struggle
笨的	笨的 stupid
主题	主题 subject topic
题目	题目 subject title topic
科目	科目 subject
主语	主语 subject
郊区	郊区 suburb
事物	事物 such
吮吸	吮吸 suck
舐食	舐食 suck
受苦	受苦 suffer
遭受	遭受 suffer sufferfrom
痛苦	痛苦 suffering
苦难	苦难 suffering
暗示	暗示 suggest
提议	提议 suggest
衣箱	衣箱 suitcase
总额	总额 sum total
摘要	摘要 summary
概要	概要 summary
夏天	夏天 summer
夏季	夏季 summer
传唤	传唤 summon
太阳	太阳 sun
阳光	阳光 sun sunshine
日出	日出 sunrise
晚餐	晚餐 supper
供给	供给 supply
供应	供应 supply
补充	补充 supply
赡养	赡养 support
猜想	猜想 suppose
肯定	肯定 sure
确信	确信 sure
表面	表面 surface
水面	水面 surface
惊奇	惊奇 surprise wonder
诧异	诧异 surprise wonder
意外	意外 surprise
包围	包围 surround
幸存	幸存 survival
吞下	吞下 swallow
咽下	咽下 swallow
摇摆	摇摆 sway swing
瑞典	瑞典 Sweden
甜的	甜的 sweet
糖果	糖果 sweet
白薯	白薯 sweetpotato
山芋	山芋 sweetpotato
挥舞	挥舞 swing swung
摆动	摆动 swing swung
转换	转换 switch
瑞士	瑞士 Switzerland
刀剌	刀剌 swordthrust
剑剌	剑剌 swordthrust
制度	制度 system
体系	体系 system
系统	系统 system
桌子	桌子 table
尾巴	尾巴 tail
尾部	尾部 tail
裁缝	裁缝 tailor
带走	带走 take
就座	就座 take takeaseat takeone'splace
坐船	坐船 takeaboat
打的	打的 takeataxi
保管	保管 takecareof
拿下	拿下 takedown
取下	取下 takedown
拥抱	拥抱 takeinone'sarm
拿掉	拿掉 takeoff
呈现	呈现 takeon
就位	就位 takeone'splace
轮流	轮流 takeone'sturn
参与	参与 takepartin
照像	照像 takephotos
拍照	拍照 takephotos
接替	接替 taketheplaceof
占去	占去 takeup
占据	占据 takeup
传说	传说 tale
谈论	谈论 talkabout
说到	说到 talkof
商谈	商谈 talkover
商量	商量 talkover
家禽	家禽 tamebirds
油船	油船 tanker
轻打	轻打 tap
卷尺	卷尺 tape
磁带	磁带 tape
打出	打出 tapout
任务	任务 task
尝味	尝味 taste
滋味	滋味 taste
味道	味道 taste
教书	教书 taught teach
税款	税款 tax
抽税	抽税 tax
征税	征税 tax
茶叶	茶叶 tea
教员	教员 teacher
教学	教学 teaching
教导	教导 teaching
学说	学说 teaching
队友	队友 teammate
眼泪	眼泪 tear
泪珠	泪珠 tear
扯开	扯开 tear tore torn
撕裂	撕裂 tear tore torn
拆毁	拆毁 teardown
拆除	拆除 teardown
茶室	茶室 tearoom
拔出	拔出 tearup
技术	技术 technique technology
电报	电报 telegram telegraph
电视	电视 television
讲述	讲述 tell told
吩咐	吩咐 tell told
脾气	脾气 temper
温度	温度 temperature
庙宇	庙宇 temple
寺院	寺院 temple
引诱	引诱 temptation
诱惑	诱惑 temptation
佃户	佃户 tenant
房客	房客 tenant
嫩的	嫩的 tender
网球	网球 tennis
帐篷	帐篷 tent
学期	学期 term
用语	用语 term
字眼	字眼 term
恐吓	恐吓 terrify
试管	试管 testtube
课文	课文 text
文本	文本 text
课本	课本 text textbook
感谢	感谢 thank
谢谢	谢谢 thank
那个	那个 that the
这个	这个 the this
这些	这些 the these
那些	那些 the those
剧场	剧场 theater
戏院	戏院 theater
后天	后天 thedayaftertomorrow
前天	前天 thedaybeforeyesterday
长城	长城 theGreatWall
他们	他们 their theirs them themselves they
她们	她们 their theirs them themselves they
它们	它们 them they
明朝	明朝 theMingDynasty
越越	越越 themorethe
愈愈	愈愈 themorethe
当时	当时 then
那时	那时 then
理论	理论 theory
原理	原理 theory
